"idhod","hodnota","ukaz_kod","vytah_cis","vytah_kod","uzemi_cis","uzemi_kod","sldb_rok","sldb_datum","ukaz_txt","vytah_txt","uzemi_txt"
"957389116","618","2409",,,"43","500011","2021","2021-03-26","Počet domů",,"Želechovice nad Dřevnicí"
"965541157","0","2409","3206","1","43","500011","2021","2021-03-26","Počet domů","s výtahem","Želechovice nad Dřevnicí"
"965501099","599","2409","3206","2","43","500011","2021","2021-03-26","Počet domů","bez výtahu","Želechovice nad Dřevnicí"
"965581375","19","2409","5768","9","43","500011","2021","2021-03-26","Počet domů","nezjištěno","Želechovice nad Dřevnicí"
"957605712","376","2409",,,"43","500020","2021","2021-03-26","Počet domů",,"Petrov nad Desnou"
"965526779","0","2409","3206","1","43","500020","2021","2021-03-26","Počet domů","s výtahem","Petrov nad Desnou"
"965566816","373","2409","3206","2","43","500020","2021","2021-03-26","Počet domů","bez výtahu","Petrov nad Desnou"
"965540086","3","2409","5768","9","43","500020","2021","2021-03-26","Počet domů","nezjištěno","Petrov nad Desnou"
"957461987","556","2409",,,"43","500046","2021","2021-03-26","Počet domů",,"Libhošť"
"965502262","0","2409","3206","1","43","500046","2021","2021-03-26","Počet domů","s výtahem","Libhošť"
"965569035","555","2409","3206","2","43","500046","2021","2021-03-26","Počet domů","bez výtahu","Libhošť"
"965515750","1","2409","5768","9","43","500046","2021","2021-03-26","Počet domů","nezjištěno","Libhošť"
"957098154","666","2409",,,"43","500062","2021","2021-03-26","Počet domů",,"Krhová"
"965501374","1","2409","3206","1","43","500062","2021","2021-03-26","Počet domů","s výtahem","Krhová"
"965487939","659","2409","3206","2","43","500062","2021","2021-03-26","Počet domů","bez výtahu","Krhová"
"965554897","6","2409","5768","9","43","500062","2021","2021-03-26","Počet domů","nezjištěno","Krhová"
"957605291","537","2409",,,"43","500071","2021","2021-03-26","Počet domů",,"Poličná"
"965540148","0","2409","3206","1","43","500071","2021","2021-03-26","Počet domů","s výtahem","Poličná"
"965500085","531","2409","3206","2","43","500071","2021","2021-03-26","Počet domů","bez výtahu","Poličná"
