kodcobce;nazcobce;psc;kodobce;nazobce;kodokresu;nazokresu;kodkraj;nazevkraj;kodmomc;nazmomc;kodpobvod;nazpobvod
195901;?elechovice nad D?evnic?;76311;500011;?elechovice nad D?evnic?;3705;Zl?n;141;Zl?nsk?;;;;
119792;Petrov nad Desnou;78814;500020;Petrov nad Desnou;3809;?umperk;124;Olomouck?;;;;
119792;Petrov nad Desnou;78816;500020;Petrov nad Desnou;3809;?umperk;124;Olomouck?;;;;
119806;Terez?n;78814;500020;Petrov nad Desnou;3809;?umperk;124;Olomouck?;;;;
82686;Libho??;74257;500046;Libho??;3804;Nov? Ji??n;132;Moravskoslezsk?;;;;
176508;Krhov?;75663;500062;Krhov?;3810;Vset?n;141;Zl?nsk?;;;;
125458;Poli?n?;75701;500071;Poli?n?;3810;Vset?n;141;Zl?nsk?;;;;
317934;Bra?ec;36471;500101;Bra?ec;3403;Karlovy Vary;51;Karlovarsk?;;;;
390330;Doln? Valov;36471;500101;Bra?ec;3403;Karlovy Vary;51;Karlovarsk?;;;;
390925;Javorn?;36471;500101;Bra?ec;3403;Karlovy Vary;51;Karlovarsk?;;;;
317942;Doln? Lomnice;36272;500127;Doupovsk? Hradi?t?;3403;Karlovy Vary;51;Karlovarsk?;;;;
317951;Lu?iny;36272;500127;Doupovsk? Hradi?t?;3403;Karlovy Vary;51;Karlovarsk?;;;;
390275;Svatobor;36272;500127;Doupovsk? Hradi?t?;3403;Karlovy Vary;51;Karlovarsk?;;;;
390798;?inov;36471;500127;Doupovsk? Hradi?t?;3403;Karlovy Vary;51;Karlovarsk?;;;;
320676;Kozlov;78357;500135;Kozlov;3805;Olomouc;124;Olomouck?;;;;
320692;Slavkov;75131;500135;Kozlov;3805;Olomouc;124;Olomouck?;;;;
320684;Lubom?? pod Str?nou;75362;500151;Lubom?? pod Str?nou;3808;P?erov;124;Olomouck?;;;;
320668;Heroltovice;78307;500160;M?sto Libav?;3805;Olomouc;124;Olomouck?;;;;
93424;M?sto Libav?;78307;500160;M?sto Libav?;3805;Olomouc;124;Olomouck?;;;;
330469;Poln? na ?umav?;38229;500194;Poln? na ?umav?;3302;?esk? Krumlov;35;Jiho?esk?;;;;
330744;Kv?tu??n;38229;500194;Poln? na ?umav?;3302;?esk? Krumlov;35;Jiho?esk?;;;;
330752;Ol?ina;38229;500194;Poln? na ?umav?;3302;?esk? Krumlov;35;Jiho?esk?;;;;
330761;Otice;38229;500194;Poln? na ?umav?;3302;?esk? Krumlov;35;Jiho?esk?;;;;
180360;Ve?ovice;74273;500259;Ve?ovice;3804;Nov? Ji??n;132;Moravskoslezsk?;;;;
186686;V?esina;74285;500291;V?esina;3807;Ostrava-m?sto;132;Moravskoslezsk?;;;;
102351;Nedv?z?;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
103101;Nemilany;78301;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110558;Kl?tern? Hradisko;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110574;?ernov?r;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110591;Lazce;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110612;Hej??n;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110680;Ne?ed?n;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110876;Hodolany;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110914;Chv?lkovice;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110922;Nov? Sv?t;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110931;Pavlovi?ky;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
110949;?ep??n;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
137740;Rad?kov;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
150380;Slavon?n;78301;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
167762;Topolany;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
172413;T?ne?ek;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
32638;Dro?d?n;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
41220;Holice;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
413780;B?lidla;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
413810;Nov? Ulice;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
413828;Nov? Sady;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
413836;Olomouc;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
413852;Povel;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
52418;Chomoutov;78335;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
69281;Svat? Kope?ek;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
86878;Lo?ov;77900;500496;Olomouc;3805;Olomouc;124;Olomouck?;;;;
413666;B?lkovice-La??any;78316;500526;B?lkovice-La??any;3805;Olomouc;124;Olomouck?;;;;
145599;?erven? Lhota;78321;500623;B?l? Lhota;3805;Olomouc;124;Olomouck?;;;;
145602;M?n?k;78321;500623;B?l? Lhota;3805;Olomouc;124;Olomouck?;;;;
145629;?imice;78321;500623;B?l? Lhota;3805;Olomouc;124;Olomouck?;;;;
3956;B?l? Lhota;78321;500623;B?l? Lhota;3805;Olomouc;124;Olomouck?;;;;
3964;Hrab?;78321;500623;B?l? Lhota;3805;Olomouc;124;Olomouck?;;;;
3972;Hrade?n?;78324;500623;B?l? Lhota;3805;Olomouc;124;Olomouck?;;;;
3981;Pate??n;78321;500623;B?l? Lhota;3805;Olomouc;124;Olomouck?;;;;
5207;Blatec;78375;500801;Blatec;3805;Olomouc;124;Olomouck?;;;;
6432;Bohu?ovice;78314;500852;Bohu?ovice;3805;Olomouc;124;Olomouck?;;;;
124281;Obectov;78325;500861;Bouzov;3805;Olomouc;124;Olomouck?;;;;
124290;Ole?nice;78325;500861;Bouzov;3805;Olomouc;124;Olomouck?;;;;
124303;Podol?;78325;500861;Bouzov;3805;Olomouc;124;Olomouck?;;;;
71480;Kov??ov;78325;500861;Bouzov;3805;Olomouc;124;Olomouck?;;;;
72010;Bla?ov;78325;500861;Bouzov;3805;Olomouc;124;Olomouck?;;;;
72028;Kade??n;78325;500861;Bouzov;3805;Olomouc;124;Olomouck?;;;;
